Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-4o FT+QSP,37872202,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
GPT-4o FT+QSP,37872202,9,List,Which HIV genes were reported to have been sequenced?,gp120,Not applicable,ok,model error,
GPT-4o FT+QSP,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,wrong,annotation/convention,"wrong: GenBank accession numbers (OR259825 etc.) appear in a table; the QSP rule says accessions mean Yes, annotation says No"
GPT-4o FT+QSP,37880705,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT+QSP,37880705,7,List,From what years were the sequenced samples obtained?,2003-2018,Not reported,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT+QSP,37914679,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37914679,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",Not reported,ok,model error,
GPT-4o FT+QSP,37938856,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37941373,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,Not reported,ok,model error,
GPT-4o FT+QSP,37946329,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ok,model error,
GPT-4o FT+QSP,37946329,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,37957382,11,List,What type of samples were sequenced?,"Plasma, PBMC",Plasma,ok,model error,
GPT-4o FT+QSP,37957382,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,37957382,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, DRV, TFV, FTC ",Not reported,ok,model error,
GPT-4o FT+QSP,37957382,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,model error,
GPT-4o FT+QSP,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","Pol, Env",ok,model error,
GPT-4o FT+QSP,37966701,6,List,From which countries were the sequenced samples obtained?,Not reported,US,ok,model error,
GPT-4o FT+QSP,37966701,7,List,From what years were the sequenced samples obtained?,Not reported,2021–2022,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37973713,13,Boolean,Were the patients in the study in a clinical trial?,Yes,No,ok,model error,
GPT-4o FT+QSP,37973713,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o FT+QSP,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland",Poland,ok,model error,
GPT-4o FT+QSP,37976185,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37993493,5,Number,How many individuals had samples obtained for HIV sequencing?,33,600,ok,annotation/convention,R6 QID 5 denominator: both 600 and 33 are stated in the paper
GPT-4o FT+QSP,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,"ambiguous: ML paper reuses PhenoSense fold-ratio data from a database; the QSP rule ('reports IC50/EC50/fold change') supports Yes, the curators applied a 'new data' standard"
GPT-4o FT+QSP,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,38020274,5,Number,How many individuals had samples obtained for HIV sequencing?,311,271,ok,model error,
GPT-4o FT+QSP,38031075,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,TLD,ok,model error,
GPT-4o FT+QSP,38031075,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TDF), Lamivudine (3TC), Dolutegravir (DTG)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38033131,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,38033131,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38033131,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,NVP,ok,model error,
GPT-4o FT+QSP,38033131,5,Number,How many individuals had samples obtained for HIV sequencing?,0,492,ok,model error,
GPT-4o FT+QSP,38033131,6,List,From which countries were the sequenced samples obtained?,Not reported,Ethiopia,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38033131,7,List,From what years were the sequenced samples obtained?,Not reported,2015–2019,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38058846,11,List,What type of samples were sequenced?,Not reported,Clinical samples,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,38058846,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",IN,ok,model error,
GPT-4o FT+QSP,38090027,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI","PI, INSTI",ok,model error,
GPT-4o FT+QSP,38090027,5,Number,How many individuals had samples obtained for HIV sequencing?,5,Not reported,ok,model error,
GPT-4o FT+QSP,38090027,6,List,From which countries were the sequenced samples obtained?,Italy,Not reported,ok,model error,
GPT-4o FT+QSP,38090027,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,ok,model error,
GPT-4o FT+QSP,38140667,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o FT+QSP,38140667,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,38140667,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,38140667,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,38142692,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,38142692,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38142692,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TDF, 3TC, efavirenz, NVP, AZT, DTG",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38142692,6,List,From which countries were the sequenced samples obtained?,Not reported,South Africa,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38142692,7,List,From what years were the sequenced samples obtained?,Not reported,2019–2020,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38152686,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,
GPT-4o FT+QSP,38152686,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",All,ok,model error,
GPT-4o FT+QSP,38152686,6,List,From which countries were the sequenced samples obtained?,Not reported,Brazil,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38314093,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,38314093,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"EFV, NVP, AZT, 3TC",ok,model error,
GPT-4o FT+QSP,38314093,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o FT+QSP,38427738,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
GPT-4o FT+QSP,38427738,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-4o FT+QSP,40391923,5,Number,How many individuals had samples obtained for HIV sequencing?,227,488,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,40400229,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes (PrEP),Not reported,ok,model error,
GPT-4o FT+QSP,40400229,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,40400229,5,Number,How many individuals had samples obtained for HIV sequencing?,47,54,ok,annotation/convention,R6 QID 5 denominator: both 54 and 47 are stated in the paper
GPT-4o FT+QSP,40400229,9,List,Which HIV genes were reported to have been sequenced?,"RT,IN",Not reported,ok,model error,
GPT-4o FT+QSP,40431710,10,List,What method was used for sequencing?,Sanger,NGS,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT+QSP,40431710,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-4o FT+QSP,40431710,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, ddI, d4T, 3TC, ABC, TDF, TAF, DLV, ETR, DOR, IDV, RTV, NFV, LPV, ATV, DRV, EVG, DTG, FOS","Zidovudine (AZT), Lamivudine (3TC), Abacavir (ABC), Tenofovir (TDF), Emtricitabine (FTC), Delavirdine (DLV), Efavirenz (EFV), Rilpivirine (RPV), Doravirine (DOR), Indinavir (IDV), Lopinavir (LPV), Atazanavir (ATV), Darunavir (DRV), Raltegravir (RAL), Dolutegravir (DTG), Bictegravir (BIC), Fostemsavir (FTR)",ok,model error,
GPT-4o FT+QSP,40431710,7,List,From what years were the sequenced samples obtained?,2006-2024,"2015, 2022, 2023",ok,model error,
GPT-4o FT+QSP,40431742,10,List,What method was used for sequencing?,Sanger  ,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT+QSP,40431742,5,Number,How many individuals had samples obtained for HIV sequencing?,1677,1667,ok,model error,
GPT-4o FT+QSP,40490983,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, 3TC, TDF, ABC, EFV, NVP, LPV, RTV, ATV (RTV is for boosting)","ATV/r, LPV/r",ok,model error,
GPT-4o FT+QSP,40490983,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR",Not reported,ok,model error,
GPT-4o FT+QSP,40596906,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not stated,"Zidovudine (ZDV), Lamivudine (3TC), Nevirapine (NVP), Lopinavir/Ritonavir, Efavirenz (EFV)",ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
GPT-4o FT+QSP,40596906,7,List,From what years were the sequenced samples obtained?,2007-2022,2021-2023,ok,model error,
GPT-4o FT+QSP,40713598,16,List,Which drugs were received by individuals in the study before sample sequencing?,"ABC, 3TC, AZT (ZDV), NVP, EFV","K103N, M184I/V",ok,model error,
GPT-4o FT+QSP,40763144,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, ABC, 3TC, TDF, ATV, LPV, RTV, DTG",Not reported,ok,model error,
GPT-4o FT+QSP,40779404,11,List,What type of samples were sequenced?,PBMC,Whole blood,ambiguous,annotation/convention,ambiguous: paper says whole blood (proviral DNA); annotation says PBMC
GPT-4o FT+QSP,40779404,16,List,Which drugs were received by individuals in the study before sample sequencing?,TFV (no other ARVs specified; Data in supplementary methods),"TDF/TAF, EFV, ETR, RPV, NVP, DTG, BIC, LPV/r, ATV",ambiguous,annotation/convention,ambiguous: annotation hedges: 'TFV (no other ARVs specified; Data in supplementary methods)'
GPT-4o FT+QSP,40839365,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",INSTIs,ok,model error,
GPT-4o FT+QSP,40857111,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",NRTI,ok,model error,
GPT-4o FT+QSP,40857111,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TAF, FTC, TDF, 3TC, DTG, BIC","TDF, FTC, B/F/TAF, DTG",ok,model error,
GPT-4o FT+QSP,40857111,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,ambiguous: paper states participants underwent genotypic/phenotypic resistance analyses; no susceptibility values shown
GPT-4o FT+QSP,40857111,5,Number,How many individuals had samples obtained for HIV sequencing?,7 (Uncertain),208,ambiguous,annotation/convention,ambiguous: annotation hedges: '7 (Uncertain)'
GPT-4o FT+QSP,40857111,6,List,From which countries were the sequenced samples obtained?,Not provided (multicenter trial),10,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not provided (multicenter trial)'
